img_name;colors
images/bcb8570e-0d89-4629-b08d-7bfb73f3f7e1.jpg;000
images/627c2d35-4def-40e9-b13c-d625034a05d6.jpg;GBB
images/3241b607-6457-4c77-b7af-e52f9af1a42f.jpg;BGB
images/7ace6c33-ede9-47bb-a1b9-4a65e2b1e4a9.jpg;BBG
images/6924d381-f800-4e23-9003-4889b2860ace.jpg;MBB
images/31973740-6467-4603-8693-cdde37102a0e.jpg;BMB
images/5f216003-4d64-4cea-8892-0d641ce38c83.jpg;BBM
images/9f14bb14-ee5e-4860-b3ca-3e42f5aada6f.jpg;BGG
images/e0f94e5e-bc4f-45e8-a988-a595b85af70f.jpg;GBG
images/374a54e6-1b98-44f1-ae6f-34d4864470c3.jpg;GGB
images/4fc437fd-0200-4bd7-9107-18c56a9ad803.jpg;MGG
images/a8f6f6f2-1cf3-45cf-b52c-444782f81ca0.jpg;G00
images/af13b58a-5ce9-4e7b-8f80-48282e79f94c.jpg;GMG
images/d2660710-c170-44d3-8e55-4d8970267b80.jpg;GG0
images/956af5ce-4b90-4579-990b-07595999403d.jpg;G0G
images/8dab0853-d1e4-41b7-93f9-27d91632d67f.jpg;GGG
images/1832555b-c7e0-43fa-ba8d-bec3aeaad5c8.jpg;B00
images/c1fafd71-7886-4868-a927-e47ce866f282.jpg;BB0
images/2173784c-7682-4964-8b0a-dc7deebd3ebd.jpg;B0B
images/1a2cadf6-255a-41a6-bab4-deab0c13380c.jpg;BBB
